name,energy,energy_source,,,,,
Malawi,2197183170,Coal,,,,,
Barbados,0,Coal,,,,,
Guyana,0,Coal,,,,,
Niger,5489645440,Coal,,,,,
Guam,0,Coal,,,,,
Martinique,0,Coal,,,,,
Fiji,0,Coal,,,,,
U.S. Virgin Islands,0,Coal,,,,,
Suriname,0,Coal,,,,,
Togo,3288646640,Coal,,,,,
Montenegro,12612315470,Coal,,,,,
Mauritania,0,Coal,,,,,
Bahamas,0,Coal,,,,,
Guinea,0,Coal,,,,,
Réunion,0,Coal,,,,,
Haiti,0,Coal,,,,,
Madagascar,8698340000,Coal,,,,,
Mali,0,Coal,,,,,
Burkina Faso,0,Coal,,,,,
State of Palestine,0,Coal,,,,,
Gabon,0,Coal,,,,,
Macao,0,Coal,,,,,
Bhutan,1225649060,Coal,,,,,
Estonia,877855650,Coal,,,,,
Mauritius,18916032240,Coal,,,,,
Namibia,0,Coal,,,,,
New Caledonia,29824304180,Coal,,,,,
Equatorial Guinea,0,Coal,,,,,
Uganda,0,Coal,,,,,
Benin,2915448210,Coal,,,,,
Macedonia,35002100000,Coal,,,,,
Congo,0,Coal,,,,,
Nicaragua,0,Coal,,,,,
Botswana,48017985500,Coal,,,,,
Papua New Guinea,0,Coal,,,,,
Cyprus,0,Coal,,,,,
Moldova,5120720000,Coal,,,,,
Albania,2236860000,Coal,,,,,
Jamaica,2562620000,Coal,,,,,
Malta,0,Coal,,,,,
El Salvador,0,Coal,,,,,
Dem. Rep. Congo,0,Coal,,,,,
Senegal,14377770000,Coal,,,,,
Yemen,8309820000,Coal,,,,,
Zimbabwe,64966140000,Coal,,,,,
Nepal,6448880000,Coal,,,,,
Lithuania,6033600000,Coal,,,,,
Cambodia,38800540000,Coal,,,,,
Cameroon,0,Coal,,,,,
Armenia,0,Coal,,,,,
Zambia,5339340000,Coal,,,,,
Brunei ,0,Coal,,,,,
Honduras,0,Coal,,,,,
Afghanistan,46302080000,Coal,,,,,
Côte d'Ivoire,0,Coal,,,,,
Luxembourg,1834460000,Coal,,,,,
Iceland,4428980000,Coal,,,,,
Mongolia,1.51E+11,Coal,,,,,
Tajikistan,36041920000,Coal,,,,,
Gibraltar,0,Coal,,,,,
Costa Rica,0,Coal,,,,,
Latvia,1875160000,Coal,,,,,
Uruguay,0,Coal,,,,,
Kyrgyzstan,38719200000,Coal,,,,,
Georgia,7388130000,Coal,,,,,
Puerto Rico,18514860000,Coal,,,,,
Bosnia and Herzegovina,1.54E+11,Coal,,,,,
Ghana,0,Coal,,,,,
Tanzania,8621730000,Coal,,,,,
Kenya,9667740000,Coal,,,,,
Guatemala,50634880000,Coal,,,,,
Slovenia,45426080000,Coal,,,,,
Mozambique,0,Coal,,,,,
Croatia,14027400000,Coal,,,,,
Dominican Republic,27237040000,Coal,,,,,
Ethiopia,12941400000,Coal,,,,,
Bolivia,0,Coal,,,,,
Lebanon,3757870000,Coal,,,,,
North Korea,1.82E+11,Coal,,,,,
Sudan,0,Coal,,,,,
Angola,0,Coal,,,,,
Syria,0,Coal,,,,,
Sri Lanka,61347200000,Coal,,,,,
Panama,8786180000,Coal,,,,,
Paraguay,0,Coal,,,,,
Jordan,4310690000,Coal,,,,,
Tunisia,0,Coal,,,,,
Myanmar,5187850000,Coal,,,,,
Cuba,0,Coal,,,,,
Laos,2.68E+11,Coal,,,,,
Ireland,44702700000,Coal,,,,,
Libya,0,Coal,,,,,
Azerbaijan,0,Coal,,,,,
Ecuador,0,Coal,,,,,
Morocco,1.39E+11,Coal,,,,,
Bulgaria,2.56E+11,Coal,,,,,
Slovakia,1.31E+11,Coal,,,,,
Denmark,58985920000,Coal,,,,,
New Zealand,45124900000,Coal,,,,,
Trinidad and Tobago,0,Coal,,,,,
Serbia,3.21E+11,Coal,,,,,
Bahrain,0,Coal,,,,,
Israel,2.00E+11,Coal,,,,,
Hungary,1.04E+11,Coal,,,,,
Belarus,9613130000,Coal,,,,,
Hong Kong,2.64E+11,Coal,,,,,
Greece,1.97E+11,Coal,,,,,
Oman,0,Coal,,,,,
Portugal,1.29E+11,Coal,,,,,
Finland,1.11E+11,Coal,,,,,
Peru,11185200000,Coal,,,,,
Switzerland,0,Coal,,,,,
Nigeria,0,Coal,,,,,
Austria,90097800000,Coal,,,,,
Chile,2.84E+11,Coal,,,,,
Romania,2.12E+11,Coal,,,,,
Bangladesh,56694400000,Coal,,,,,
Uzbekistan,71930000000,Coal,,,,,
Colombia,1.83E+11,Coal,,,,,
Czech Republic,6.65E+11,Coal,,,,,
Kuwait,0,Coal,,,,,
Turkmenistan,0,Coal,,,,,
Venezuela,0,Coal,,,,,
Sweden,66561300000,Coal,,,,,
Qatar,0,Coal,,,,,
Iraq,0,Coal,,,,,
Philippines,6.60E+11,Coal,,,,,
Algeria,0,Coal,,,,,
Belgium,1.07E+11,Coal,,,,,
Norway,19013700000,Coal,,,,,
Pakistan,2.23E+11,Coal,,,,,
Vietnam,1.39E+12,Coal,,,,,
Italy,4.06E+11,Coal,,,,,
Indonesia,2.00E+12,Coal,,,,,
United Kingdom,4.10E+11,Coal,,,,,
Mexico,4.72E+11,Coal,,,,,
Saudi Arabia,0,Coal,,,,,
Brazil,6.28E+11,Coal,,,,,
France,4.10E+11,Coal,,,,,
South Korea,3.54E+12,Coal,,,,,
Iran,0,Coal,,,,,
Germany,2.95E+12,Coal,,,,,
Canada,6.02E+11,Coal,,,,,
Russia,4.92E+12,Coal,,,,,
United States,1.37E+13,Coal,,,,,
Japan,4.66E+12,Coal,,,,,
India,1.68E+13,Coal,,,,,
Antigua and Barbuda,0,Coal,,,,,
Singapore,0,Nuclear/Renewable,,,,,
Poland,43344700000,Nuclear/Renewable,,,,,
Argentina,5.03E+11,Nuclear/Renewable,,,,,
Netherlands,1.97E+11,Nuclear/Renewable,,,,,
Kazakhstan,1.07E+11,Nuclear/Renewable,,,,,
Malaysia,2.46E+11,Nuclear/Renewable,,,,,
United Arab Emirates,0,Nuclear/Renewable,,,,,
Ukraine,9.81E+11,Nuclear/Renewable,,,,,
Egypt,1.60E+11,Nuclear/Renewable,,,,,
Thailand,3.86E+11,Nuclear/Renewable,,,,,
China,1.66E+13,Nuclear/Renewable,,,,,
Turkey,8.36E+11,Nuclear/Renewable,,,,,
Taiwan,3.27E+11,Nuclear/Renewable,,,,,
Australia,3.68E+11,Nuclear/Renewable,,,,,
Falkland Islands,82900000,Nuclear/Renewable,,,,,
Spain,1.37E+12,Nuclear/Renewable,,,,,
Kiribati,46100000,Nuclear/Renewable,,,,,
Tonga,0,Nuclear/Renewable,,,,,
South Africa,2.27E+11,Nuclear/Renewable,,,,,
Saint Pierre & Miquelon,991000000,Nuclear/Renewable,,,,,
St. Vincent & Grenadines,0,Nuclear/Renewable,,,,,
Sao Tome & Principe,212984190,Nuclear/Renewable,,,,,
Cook Islands,872184560,Nuclear/Renewable,,,,,
British Virgin Islands,203878620,Nuclear/Renewable,,,,,
Western Sahara,0,Nuclear/Renewable,,,,,
Comoros,0,Nuclear/Renewable,,,,,
Saint Kitts & Nevis,199062240,Nuclear/Renewable,,,,,
Turks and Caicos,322420000,Nuclear/Renewable,,,,,
Vanuatu,581369220,Nuclear/Renewable,,,,,
Dominica,592447350,Nuclear/Renewable,,,,,
Chad,487968100,Nuclear/Renewable,,,,,
Grenada,173554080,Nuclear/Renewable,,,,,
Burundi,2311189800,Nuclear/Renewable,,,,,
Guinea-Bissau,219760650,Nuclear/Renewable,,,,,
Solomon Islands,429344190,Nuclear/Renewable,,,,,
Central African Republic,1695752400,Nuclear/Renewable,,,,,
Saint Lucia,489384910,Nuclear/Renewable,,,,,
Gambia,0,Nuclear/Renewable,,,,,
Eritrea,434834080,Nuclear/Renewable,,,,,
Samoa,510539310,Nuclear/Renewable,,,,,
Bermuda,112520000,Nuclear/Renewable,,,,,
Cayman Islands,0,Nuclear/Renewable,,,,,
Timor-Leste,0,Nuclear/Renewable,,,,,
Djibouti,121526070,Nuclear/Renewable,,,,,
Somalia,605031050,Nuclear/Renewable,,,,,
Faeroe Islands,2071117800,Nuclear/Renewable,,,,,
French Polynesia,1519949400,Nuclear/Renewable,,,,,
Lesotho,5976442680,Nuclear/Renewable,,,,,
Belize,4581888840,Nuclear/Renewable,,,,,
Cabo Verde,759640740,Nuclear/Renewable,,,,,
Seychelles,0,Nuclear/Renewable,,,,,
Sierra Leone,803192520,Nuclear/Renewable,,,,,
Greenland,3551461760,Nuclear/Renewable,,,,,
French Guiana,5646981600,Nuclear/Renewable,,,,,
Rwanda,3008542650,Nuclear/Renewable,,,,,
Liberia,0,Nuclear/Renewable,,,,,
Eswatini,6540602560,Nuclear/Renewable,,,,,
